pid,duration
14848,38663629
pid,duration
14877,36910049
pid,duration
14888,38805145
pid,duration
14900,39716043
pid,duration
14911,35453591
pid,duration
14922,36538037
pid,duration
14933,37130513
pid,duration
14944,38935089
pid,duration
8126,35892657
pid,duration
8138,38899003
pid,duration
8149,39692271
pid,duration
8160,36703294
pid,duration
8193,37838139
pid,duration
8207,37540328
pid,duration
8230,35886369
pid,duration
8243,36979652
pid,duration
8258,39044680
pid,duration
8270,39102033
pid,duration
8281,29266538
pid,duration
8292,41867813
pid,duration
8305,41449367
pid,duration
8316,35650771
pid,duration
8327,48898822
pid,duration
8338,42910159
pid,duration
8349,43249117
pid,duration
8361,30511085
pid,duration
8372,34287537
pid,duration
8383,35376268
pid,duration
8394,39699662
